model_family,c,class_weight,classes,positive_probability_column,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,specificity,balanced_accuracy,f1,f2,confusion_matrix,predicted_class_counts,lower,upper,review_count,review_rate,automatic_decision_coverage,auto_non_sif,auto_sif,human_positive_routed_auto_non_sif
tfidf,0.5,non_sif_1_5,"[np.int64(0), np.int64(1)]",1,0.5999999999999999,72,17,1,2,0.8089887640449438,0.972972972972973,0.05555555555555555,0.5142642642642643,0.8834355828220859,0.9350649350649353,"[[1, 17], [2, 72]]","{'NON_SIF_POTENTIAL': 3, 'SIF_POTENTIAL': 89}",0.5499999999999998,0.6499999999999999,6,0.06521739130434782,0.9347826086956522,2,84,2
tfidf,0.5,non_sif_1_5,"[np.int64(0), np.int64(1)]",1,0.5999999999999999,72,17,1,2,0.8089887640449438,0.972972972972973,0.05555555555555555,0.5142642642642643,0.8834355828220859,0.9350649350649353,"[[1, 17], [2, 72]]","{'NON_SIF_POTENTIAL': 3, 'SIF_POTENTIAL': 89}",0.4999999999999999,0.6999999999999998,19,0.20652173913043478,0.7934782608695652,0,73,0
tfidf,0.5,non_sif_1_5,"[np.int64(0), np.int64(1)]",1,0.6499999999999999,70,14,4,4,0.8333333333333334,0.9459459459459459,0.2222222222222222,0.5840840840840841,0.8860759493670886,0.9210526315789475,"[[4, 14], [4, 70]]","{'NON_SIF_POTENTIAL': 8, 'SIF_POTENTIAL': 84}",0.5999999999999999,0.7,16,0.17391304347826086,0.8260869565217391,3,73,2
tfidf,0.5,non_sif_1_5,"[np.int64(0), np.int64(1)]",1,0.6499999999999999,70,14,4,4,0.8333333333333334,0.9459459459459459,0.2222222222222222,0.5840840840840841,0.8860759493670886,0.9210526315789475,"[[4, 14], [4, 70]]","{'NON_SIF_POTENTIAL': 8, 'SIF_POTENTIAL': 84}",0.5499999999999999,0.7499999999999999,35,0.3804347826086957,0.6195652173913043,2,55,2
tfidf,0.5,non_sif_1_5,"[np.int64(0), np.int64(1)]",1,0.7,63,10,8,11,0.863013698630137,0.8513513513513513,0.4444444444444444,0.6478978978978979,0.8571428571428571,0.8536585365853657,"[[8, 10], [11, 63]]","{'NON_SIF_POTENTIAL': 19, 'SIF_POTENTIAL': 73}",0.6499999999999999,0.75,29,0.31521739130434784,0.6847826086956522,8,55,4
tfidf,0.5,non_sif_1_5,"[np.int64(0), np.int64(1)]",1,0.7,63,10,8,11,0.863013698630137,0.8513513513513513,0.4444444444444444,0.6478978978978979,0.8571428571428571,0.8536585365853657,"[[8, 10], [11, 63]]","{'NON_SIF_POTENTIAL': 19, 'SIF_POTENTIAL': 73}",0.6,0.7999999999999999,56,0.6086956521739131,0.391304347826087,3,33,2
tfidf,0.5,non_sif_1_5,"[np.int64(0), np.int64(1)]",1,0.7499999999999999,51,4,14,23,0.9272727272727272,0.6891891891891891,0.7777777777777778,0.7334834834834835,0.7906976744186046,0.7264957264957265,"[[14, 4], [23, 51]]","{'NON_SIF_POTENTIAL': 37, 'SIF_POTENTIAL': 55}",0.6999999999999998,0.7999999999999999,40,0.43478260869565216,0.5652173913043478,19,33,11
tfidf,0.5,non_sif_1_5,"[np.int64(0), np.int64(1)]",1,0.7499999999999999,51,4,14,23,0.9272727272727272,0.6891891891891891,0.7777777777777778,0.7334834834834835,0.7906976744186046,0.7264957264957265,"[[14, 4], [23, 51]]","{'NON_SIF_POTENTIAL': 37, 'SIF_POTENTIAL': 55}",0.6499999999999999,0.8499999999999999,74,0.8043478260869565,0.1956521739130435,8,10,4
tfidf,1.0,none,"[np.int64(0), np.int64(1)]",1,0.25,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.2,0.3,0,0.0,1.0,0,92,0
tfidf,1.0,none,"[np.int64(0), np.int64(1)]",1,0.25,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.15,0.35,0,0.0,1.0,0,92,0
tfidf,1.0,none,"[np.int64(0), np.int64(1)]",1,0.3,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.25,0.35,0,0.0,1.0,0,92,0
tfidf,1.0,none,"[np.int64(0), np.int64(1)]",1,0.3,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.19999999999999998,0.4,0,0.0,1.0,0,92,0
tfidf,1.0,none,"[np.int64(0), np.int64(1)]",1,0.35,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.3,0.39999999999999997,0,0.0,1.0,0,92,0
tfidf,1.0,none,"[np.int64(0), np.int64(1)]",1,0.35,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.24999999999999997,0.44999999999999996,0,0.0,1.0,0,92,0
tfidf,1.0,none,"[np.int64(0), np.int64(1)]",1,0.39999999999999997,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.35,0.44999999999999996,0,0.0,1.0,0,92,0
